RSSI,Timestamp
-52,15:24:00.032662
-48,15:24:00.036695
-48,15:24:00.040749
-40,15:24:00.047320
-54,15:24:00.058642
-56,15:24:00.065882
-44,15:24:00.076902
-66,15:24:00.088388
-43,15:24:00.092754
-48,15:24:00.102885
-48,15:24:00.110482
-46,15:24:00.121681
-46,15:24:00.132821
-46,15:24:00.140671
-58,15:24:00.148337
-80,15:24:00.152404
-46,15:24:00.162845
-46,15:24:00.170515
-40,15:24:00.184369
-38,15:24:00.192226
-64,15:24:00.202934
-62,15:24:00.213189
-64,15:24:00.220756
-45,15:24:00.225091
-56,15:24:00.235917
-56,15:24:00.245821
-52,15:24:00.252945
-38,15:24:00.264045
-58,15:24:00.274872
-56,15:24:00.282043
-58,15:24:00.291974
-44,15:24:00.302169
-46,15:24:00.309723
-40,15:24:00.320320
-38,15:24:00.327908
-38,15:24:00.339019
-38,15:24:00.349672
-38,15:24:00.357803
-54,15:24:00.362253
-50,15:24:00.373595
-58,15:24:00.383870
-58,15:24:00.391577
-45,15:24:00.395884
-48,15:24:00.406608
-50,15:24:00.417552
-50,15:24:00.424999
-36,15:24:00.436139
-34,15:24:00.443964
-58,15:24:00.455569
-54,15:24:00.465939
-54,15:24:00.473506
-43,15:24:00.477900
-66,15:24:00.488695
-66,15:24:00.499636
-64,15:24:00.507141
-34,15:24:00.518431
-34,15:24:00.528940
-34,15:24:00.536797
-47,15:24:00.541230
-60,15:24:00.552704
-60,15:24:00.563243
-62,15:24:00.570905
-66,15:24:00.581475
-66,15:24:00.588990
-48,15:24:00.593345
-34,15:24:00.604913
-34,15:24:00.615664
-34,15:24:00.623575
-46,15:24:00.628006
-64,15:24:00.638879
-64,15:24:00.649872
-64,15:24:00.657708
-65,15:24:00.661783
-49,15:24:00.665797
-51,15:24:00.670141
-66,15:24:00.674450
-64,15:24:00.678452
-50,15:24:00.682400
-50,15:24:00.687122
-61,15:24:00.691382
-58,15:24:00.695812
-60,15:24:00.706680
-60,15:24:00.717754
-60,15:24:00.725206
-48,15:24:00.729313
-53,15:24:00.733312
-53,15:24:00.737602
-36,15:24:00.748836
-36,15:24:00.759799
-36,15:24:00.770695
-49,15:24:00.775116
-49,15:24:00.779124
-50,15:24:00.783048
-46,15:24:00.787317
-62,15:24:00.797584
-62,15:24:00.805027
-48,15:24:00.815834
-50,15:24:00.826552
-50,15:24:00.834047
-41,15:24:00.838441
-79,15:24:00.842652
-34,15:24:00.853670
-34,15:24:00.864724
-34,15:24:00.872996
-62,15:24:00.883815
-62,15:24:00.894090
-58,15:24:00.901900
-50,15:24:00.913013
-46,15:24:00.923330
-46,15:24:00.930854
-30,15:24:00.942035
-30,15:24:00.952986
-34,15:24:00.961143
-46,15:24:00.965488
-38,15:24:00.969508
-46,15:24:00.973544
-48,15:24:00.977898
-54,15:24:00.988633
-58,15:24:00.999427
-37,15:24:01.003913
-38,15:24:01.008335
-45,15:24:01.012603
-46,15:24:01.017351
-85,15:24:01.021801
-46,15:24:01.026213
-46,15:24:01.037395
-46,15:24:01.047888
-46,15:24:01.055774
-30,15:24:01.067074
-30,15:24:01.077809
-30,15:24:01.085754
-56,15:24:01.097202
-58,15:24:01.107544
-58,15:24:01.115006
-62,15:24:01.125907
-64,15:24:01.136897
-52,15:24:01.147895
-50,15:24:01.158529
-54,15:24:01.166082
-34,15:24:01.177604
-34,15:24:01.188365
-34,15:24:01.196178
-56,15:24:01.203826
-66,15:24:01.214564
-64,15:24:01.225854
-54,15:24:01.236644
-54,15:24:01.247101
-58,15:24:01.254607
-38,15:24:01.265830
-34,15:24:01.273811
-60,15:24:01.284777
-60,15:24:01.295070
-60,15:24:01.302720
-60,15:24:01.316486
-60,15:24:01.326546
-50,15:24:01.332375
-46,15:24:01.336331
-36,15:24:01.347151
-46,15:24:01.351161
-36,15:24:01.361767
-44,15:24:01.365879
-36,15:24:01.373363
-46,15:24:01.377460
-38,15:24:01.388651
-36,15:24:01.399249
-36,15:24:01.407568
-74,15:24:01.411923
-58,15:24:01.422925
-62,15:24:01.433308
-58,15:24:01.440824
-34,15:24:01.452513
-34,15:24:01.463176
-34,15:24:01.471168
-64,15:24:01.482166
-58,15:24:01.493491
-62,15:24:01.503732
-58,15:24:01.511285
-40,15:24:01.515305
-34,15:24:01.526535
-34,15:24:01.537491
-36,15:24:01.545315
-43,15:24:01.549432
-64,15:24:01.559661
-64,15:24:01.567342
-57,15:24:01.571340
-55,15:24:01.575276
-42,15:24:01.579187
-52,15:24:01.583162
-50,15:24:01.587184
-50,15:24:01.591093
-54,15:24:01.602454
-54,15:24:01.612782
-38,15:24:01.623993
-36,15:24:01.634589
-36,15:24:01.642840
-60,15:24:01.646925
-50,15:24:01.651000
-54,15:24:01.655221
-61,15:24:01.659530
-60,15:24:01.663513
-54,15:24:01.667456
-53,15:24:01.672065
-60,15:24:01.676334
-81,15:24:01.680377
-51,15:24:01.684284
-46,15:24:01.690185
-54,15:24:01.700703
