x,y,RSSI
-0.012228638368833344,0.0011188353717443533,-40
0.005711598445486743,0.017806263391685208,-42
0.023140073288232088,0.0291372018866241,-42
0.03459223471581936,0.036267503444105384,-42
0.042571097146719694,0.04169704384112265,-54
0.04870373113953974,0.04211058310174849,-54
0.04940820476913359,0.04315120634564664,-54
0.0515640808356693,0.0492335855436977,-40
0.05541595736867748,0.05376496789394878,-62
0.054928708350053056,0.05442182061669883,-54
0.05010628302989062,0.05682082710263785,-34
0.04544879720488097,0.04978773455077316,-34
0.03463452589639928,0.03667367014568299,-50
0.01910859707277268,0.01686300274450332,-50
0.00527780179399997,-5.045370198786259e-06,-36
-0.008386009209789335,-0.018743064277805387,-36
-0.022223446797579528,-0.029047010745853186,-81
-0.03822929747402668,-0.04050966762006283,-77
-0.04423688612878322,-0.042136967333499344,-36
-0.051590773242060094,-0.04109086223179474,-38
-0.048372513765934856,-0.04192441912600771,-42
-0.04138138076523319,-0.03370804308215156,-42
-0.02447638917947188,-0.022050343418959527,-42
-0.02101363387191668,-0.017711654677987097,-64
-0.010355951637029648,-0.01950499787926674,-65
-0.016839173436164857,-0.02280481653288007,-52
-0.026433300878852605,-0.0350956647656858,-52
-0.03939060494303703,-0.04384294822812081,-50
-0.03727711951360106,-0.031231584306806327,-44
-0.02576719708740711,-0.009601445496082306,-44
-0.0004110554233193398,0.01648025382310152,-50
0.02813876364380121,0.03539293073117733,-58
0.04540905430912971,0.055906932801008224,-48
0.060698920395225286,0.06004338031634689,-50
0.06188596934080124,0.061230429261922834,-50
0.061860788613557816,0.061690833419561386,-76
0.06142414286732674,0.07315102387219667,-60
0.07399958465248346,0.07951097581535578,-54
0.0799473786726594,0.0809428283944726,-54
0.08036095816642046,0.07659767363220453,-42
0.07284908145666122,0.06847881525754929,-42
0.062443329859524964,0.0519789700396359,-46
0.044249098468571904,0.029252977576106787,-50
0.020568888168781996,0.0072376995347440245,-46
-5.761254578828812e-06,-0.010739539284259081,-64
-0.016120556462556123,-0.029822509083896876,-64
